"","date","price","simple","cc"
"1445",1996-09-18,41.43623,-0.00201979321240398,-0.00202183574550752
"1446",1996-09-19,41.526531,0.00217927644479232,0.00217690526622505
"1447",1996-09-20,41.771648,0.00590266015718988,0.00588530770897799
"1448",1996-09-23,41.739407,-0.000771839310721334,-0.000772137332041734
"1449",1996-09-24,41.681347,-0.00139101161643207,-0.00139197997118989
"1450",1996-09-25,41.700771,0.000466011810990707,0.0004659032612091
"1451",1996-09-26,41.720169,0.000465171255466412,0.00046506309685812
"1452",1996-09-27,41.739571,0.000465050848667659,0.000464942746035923
"1453",1996-09-30,41.804329,0.00155147737383321,0.00155027507621019
"1454",1996-10-01,41.914352,0.00263185661944232,0.00262839934950687
"1455",1996-10-02,42.218555,0.00725772880849984,0.00723151823784063
"1456",1996-10-03,42.153812,-0.00153352003639184,-0.00153469708174514
"1457",1996-10-04,42.678082,0.0124370721205478,0.0123603670750527
"1458",1996-10-07,42.794579,0.00272966812332354,0.00272594934510817
"1459",1996-10-08,42.639248,-0.00362968870426306,-0.0036362920077746
"1460",1996-10-09,42.406227,-0.00546494159559296,-0.00547992901744454
"1461",1996-10-10,42.283264,-0.00289964490356576,-0.00290385701824425
"1462",1996-10-11,42.645714,0.0085719494124199,0.00853541886428477
"1463",1996-10-14,42.826939,0.00424954779746467,0.00424054396834528
"1464",1996-10-15,42.768673,-0.00136049882061406,-0.0013614251394003
"1465",1996-10-16,42.88517,0.00272388624262465,0.00272018318743639
"1466",1996-10-17,43.046997,0.00377349559299867,0.00376639381857302
"1467",1996-10-18,43.279987,0.0054124565297784,0.00539786182538604
"1468",1996-10-21,43.221752,-0.00134554106959406,-0.00134644712282483
"1469",1996-10-22,43.021095,-0.00464250037805036,-0.00465331025247018
"1470",1996-10-23,43.066425,0.00105366913603699,0.00105311441633926
"1471",1996-10-24,42.755741,-0.0072140652492052,-0.00724021244552597
"1472",1996-10-25,42.678082,-0.00181634087455051,-0.00181799242178826
"1473",1996-10-28,42.45155,-0.00530792363161992,-0.00532206070612462
"1474",1996-10-29,42.716896,0.00625056093358212,0.00623110720000319
"1475",1996-10-30,42.68454,-0.000757452039586326,-0.000757739051323369
"1476",1996-10-31,42.956375,0.00636846502269917,0.0063482720362007
"1477",1996-11-01,42.865776,-0.00210909323703456,-0.00211132050640606
"1478",1996-11-04,43.053463,0.00437848133205421,0.00436892367120389
"1479",1996-11-05,43.506512,0.0105229398155497,0.0104679590541861
"1480",1996-11-06,44.147266,0.0147277722470602,0.0146203718377431
"1481",1996-11-07,44.347919,0.00454508326744429,0.00453478556730369
"1482",1996-11-08,44.542061,0.00437770259298964,0.0043681483266691
"1483",1996-11-11,44.606792,0.00145325560934384,0.00145220065536567
"1484",1996-11-12,44.470886,-0.00304675574966218,-0.0030514065589502
"1485",1996-11-13,44.580929,0.00247449533611688,0.00247143881372791
"1486",1996-11-14,44.872173,0.00653292801502658,0.00651168092772636
"1487",1996-11-15,44.988651,0.00259577355435847,0.00259241035300128
"1488",1996-11-18,44.949814,-0.000863262159160993,-0.000863634984518136
"1489",1996-11-19,45.260502,0.00691188622048577,0.00688810863734579
"1490",1996-11-20,45.383488,0.00271729199998716,0.00271360683634825
"1491",1996-11-21,45.312271,-0.00156922711625873,-0.00157045964270797
"1492",1996-11-22,45.674747,0.0079995107727,0.00796768430451555
"1493",1996-11-25,46.186035,0.0111941068879919,0.0111319165532762
"1494",1996-11-26,46.127773,-0.00126146355711199,-0.00126225987201689
"1495",1996-11-27,46.076012,-0.00112212224075936,-0.00112275229129422
"1496",1996-11-29,46.205448,0.00280918409344988,0.0028052457098533
"1497",1996-12-02,46.1731,-0.000700090604034531,-0.000700335781899319
"1498",1996-12-03,45.668232,-0.0109342452640172,-0.0109944634866319
"1499",1996-12-04,45.493507,-0.00382596374652744,-0.00383330146770522
"1500",1996-12-05,45.448212,-0.000995636586117898,-0.000996132561458474
"1501",1996-12-06,45.163429,-0.00626609909318299,-0.00628581349016377
"1502",1996-12-09,45.784756,0.0137573035032392,0.0136635308636932
"1503",1996-12-10,45.648842,-0.00296854263021518,-0.00297295749219106
"1504",1996-12-11,45.241081,-0.00893255955978012,-0.00897269405117562
"1505",1996-12-12,44.561508,-0.0150211485883812,-0.0151351086886486
"1506",1996-12-13,44.516186,-0.00101706611903718,-0.00101758368174254
"1507",1996-12-16,44.043732,-0.010613083519779,-0.0106698039668651
"1508",1996-12-17,44.354389,0.00705337594915889,0.00702861724646997
"1509",1996-12-18,44.690929,0.00758752420194542,0.00755888372250801
"1510",1996-12-19,45.571178,0.0196963683614635,0.0195049049042697
"1511",1996-12-20,45.616875,0.00100276099950736,0.00100225857054559
"1512",1996-12-23,45.505856,-0.00243372655404372,-0.00243669288030901
"1513",1996-12-24,45.754021,0.00545347394410034,0.00543865759770101
"1514",1996-12-26,46.041321,0.00627922953482063,0.00625959731366654
"1515",1996-12-27,46.126202,0.00184358307182353,0.00184188575832422
"1516",1996-12-30,45.949921,-0.00382171070577153,-0.00382903210158814
"1517",1996-12-31,45.159805,-0.0171951546989607,-0.0173447082485283
"1518",1997-01-02,44.944328,-0.00477143335760644,-0.00478285298555914
